resource.h, Line: 3
MS Shell Dlg, Line: 1830
Box type, Line: 1838
+X offset, Line: 1839
-X offset, Line: 1840
+Y offset, Line: 1841
-Y offset, Line: 1842
+Z offset, Line: 1843
-Z offset, Line: 1844
Fit enclosing boxes, Line: 1845
Fit recursion depth, Line: 1847
Trim curves dialog, Line: 1853
MS Shell Dlg, Line: 1854
OK, Line: 1856
Cancel, Line: 1857
, Line: 1858
SysTreeView32, Line: 1858
Uncheck segments to remove., Line: 1859
Make points on surface, Line: 1864
MS Shell Dlg, Line: 1865
OK, Line: 1867
Cancel, Line: 1868
By distance step, Line: 1869
Button, Line: 1869
By point count, Line: 1870
Button, Line: 1870
, Line: 1871
along u, Line: 1874
along v, Line: 1875
, Line: 1876
along u, Line: 1877
along v, Line: 1878
Surface of revolution, Line: 1885
MS Shell Dlg, Line: 1886
OK, Line: 1890
Cancel, Line: 1891
Start Angle, Line: 1892
End Angle, Line: 1893
Polygons to triangles, Line: 1898
MS Shell Dlg, Line: 1899
OK, Line: 1901
Cancel, Line: 1902
Toplam loop sayisi (dis arti iï¿½), Line: 1904
Polygon Boolean , Line: 1909
MS Shell Dlg, Line: 1910
OK, Line: 1912
Cancel, Line: 1913
Union, Line: 1914
Button, Line: 1914
Intersection, Line: 1915
Button, Line: 1915
Difference, Line: 1916
Button, Line: 1916
Exclusive Or, Line: 1917
Button, Line: 1917
Do, Line: 1918
Make points, Line: 1923
MS Shell Dlg, Line: 1924
Pick from graphic view, Line: 1926
Button, Line: 1926
Make points on curve, Line: 1927
Button, Line: 1927
Make points on surface, Line: 1928
Button, Line: 1928
OK, Line: 1929
Cancel, Line: 1930
MS Shell Dlg, Line: 1935
X length, Line: 1940
Y length, Line: 1941
Z length, Line: 1942
Radius, Line: 1945
Angle, Line: 1946
Lower left, Line: 1947
Button, Line: 1947
Center, Line: 1948
Button, Line: 1948
Make circles or arcs, Line: 1953
MS Shell Dlg, Line: 1954
Center , radius, Line: 1956
Button, Line: 1956
Arc by three points, Line: 1957
Button, Line: 1957
Circle by three points, Line: 1958
Button, Line: 1958
Center , point on arc, Line: 1959
Button, Line: 1959
Two points, bulge, Line: 1960
Button, Line: 1960
Two points, radius, Line: 1961
Button, Line: 1961
String, Line: 1964
Button, Line: 1964
Close, Line: 1965
Radius, Line: 1966
Angle, Line: 1967
Mode, Line: 1968
Trimming, Line: 1973
MS Shell Dlg, Line: 1974
OK, Line: 1976
iptal, Line: 1977
Trim outside, Line: 1978
Button, Line: 1978
Trim inside, Line: 1979
Button, Line: 1979
Make lines, Line: 1984
MS Shell Dlg, Line: 1985
By 2 points, Line: 1987
nokta , dogrultu , uzunluk, Line: 1988
Between sequential points..., Line: 1989
Curve joining options, Line: 1994
Microsoft Sans Serif, Line: 1995
OK, Line: 1997
Cancel, Line: 1998
Seï¿½ilen egriler arasinda bosluklar var. Birlestirme islemi iï¿½in asagidaki seï¿½eneklerden birini isaretleyin., Line: 1999
UYARI!, Line: 2000
Toleransdan bï¿½yï¿½k bosluk varsa islemi iptal et., Line: 2001
Button, Line: 2002
Tolerans, Line: 2004
Join gaps by line., Line: 2005
Button, Line: 2005
Radyus atma , Line: 2010
MS Shell Dlg, Line: 2011
OK, Line: 2013
Cancel, Line: 2014
Yaricap, Line: 2016
Yonu ters cevir, Line: 2017
Draw on screen, Line: 2018
Make Lines, Line: 2023
MS Shell Dlg, Line: 2024
By picking two points, Line: 2026
Button, Line: 2026
Sequential points, Line: 2027
Button, Line: 2027
Direction,point,length, Line: 2028
Button, Line: 2028
Point,angle,length, Line: 2029
Button, Line: 2029
Point, point along angle, Line: 2030
Button, Line: 2030
Direction,point,point, Line: 2031
Button, Line: 2031
90, Line: 2033
180, Line: 2034
0, Line: 2036
270, Line: 2037
Ortho snap, Line: 2038
Button, Line: 2038
Length:, Line: 2039
Method, Line: 2040
^, Line: 2041
v, Line: 2042
*-1, Line: 2043
Increment step, Line: 2045
Direction vector i,j,k, Line: 2046
..., Line: 2048
^, Line: 2049
v, Line: 2050
Angle, Line: 2052
Spine Curve Calculation, Line: 2057
MS Shell Dlg, Line: 2058
OK, Line: 2060
Cancel, Line: 2061
X, Line: 2062
Button, Line: 2062
Y, Line: 2063
Button, Line: 2063
Z, Line: 2064
Button, Line: 2064
Section Plane Normal, Line: 2065
Section Step, Line: 2066
Wire Dialog, Line: 2072
MS Shell Dlg, Line: 2073
OK, Line: 2075
Cancel, Line: 2076
Contour Type:, Line: 2078
Operation Name, Line: 2080
Contour join tolerance, Line: 2081
Contour digitise tolerance, Line: 2084
Wire diameter:, Line: 2086
Make part, Line: 2087
Button, Line: 2087
Lead in-out radius or length, Line: 2088
Circular, Line: 2090
Button, Line: 2090
Line, Line: 2091
Button, Line: 2091
Tapper angle, Line: 2093
Part Height, Line: 2094
Wire arc clearence:, Line: 2097
Top trim plane ext., Line: 2098
Lead in-out, Line: 2100
Base trim plane ext., Line: 2102
WireEDM Cut Direction and Number, Line: 2107
MS Shell Dlg, Line: 2108
Next, Line: 2110
Back, Line: 2111
Number of cuts, Line: 2113
, Line: 2115
Static, Line: 2115
, Line: 2117
msctls_updown32, Line: 2117
Stock to leave, Line: 2119
Cut No:, Line: 2120
Feedrate, Line: 2121
, Line: 2122
SysListView32, Line: 2122
, Line: 2123
CCW, Line: 2124
Button, Line: 2124
CW, Line: 2125
Button, Line: 2125
Set Values, Line: 2126
Taper angle and extensions dialog, Line: 2131
MS Shell Dlg, Line: 2132
Taper Angle (A), Line: 2134
DA, Line: 2136
Static, Line: 2139
I, Line: 2140
Button, Line: 2140
II, Line: 2141
Button, Line: 2141
DB, Line: 2142
Static, Line: 2143
Static, Line: 2144
Multi Post Dialog, Line: 2149
MS Shell Dlg, Line: 2150
, Line: 2152
SysListView32, Line: 2152
Select All, Line: 2153
Deselect All, Line: 2154
Estimate time, Line: 2155
..., Line: 2157
Close, Line: 2158
Post Selected, Line: 2159
Simulate Dialog, Line: 2164
MS Shell Dlg, Line: 2165
Write NC File, Line: 2167
Back, Line: 2168
Moves, Line: 2170
>>, Line: 2171
<<, Line: 2172
Cut No:, Line: 2174
Draw all, Line: 2175
Hide All, Line: 2176
Cutting Parameters, Line: 2182
MS Shell Dlg, Line: 2183
Do Cut Off, Line: 2186
Button, Line: 2186
DB Search, Line: 2189
Extra param, Line: 2190
Back, Line: 2191
Next, Line: 2192
Cut Number :, Line: 2193
Wire Diameter, Line: 2195
WireEDM Entry Exit Dialog, Line: 2200
MS Shell Dlg, Line: 2201
Select start point, Line: 2203
Nearest point, Line: 2205
Button, Line: 2205
Angle, Line: 2206
Button, Line: 2206
..., Line: 2209
CCW, Line: 2212
Button, Line: 2212
CW, Line: 2213
Button, Line: 2213
Direct, Line: 2214
Button, Line: 2214
Circular, Line: 2215
Button, Line: 2215
, Line: 2217
SysListView32, Line: 2217
Back, Line: 2218
Reverse wire ofset direction, Line: 2219
Button, Line: 2219
Next, Line: 2220
Entry/Exit , Line: 2221
Circle radius, Line: 2222
Cut off distance :, Line: 2223
Cut over distance :, Line: 2224
Exit distance :, Line: 2225
Direction, Line: 2226
Start point dialog, Line: 2231
MS Shell Dlg, Line: 2232
Closest point, Line: 2234
Button, Line: 2234
Angle, Line: 2235
Button, Line: 2235
OK, Line: 2237
Cancel, Line: 2238
Start point on contour, Line: 2239
Angle, Line: 2240
Initial point coordinates, Line: 2245
MS Shell Dlg, Line: 2246
OK, Line: 2248
Cancel, Line: 2249
X, Line: 2253
Y, Line: 2254
Z, Line: 2255
Operation Parameters, Line: 2260
MS Shell Dlg, Line: 2261
Rename selected operation, Line: 2266
CCW, Line: 2268
Button, Line: 2268
CW, Line: 2269
Button, Line: 2269
Type 1, Line: 2270
Button, Line: 2270
Type 2, Line: 2271
Button, Line: 2271
Do cut off, Line: 2276
Button, Line: 2276
Set all operations, Line: 2277
Set selected operation, Line: 2278
Calculate, Line: 2279
Cancel, Line: 2280
Cut off distance, Line: 2281
Over cut distance, Line: 2282
Exit distance, Line: 2283
Direction, Line: 2284
Taper Angle, Line: 2285
Cut Number, Line: 2286
Operations, Line: 2287
, Line: 2288
Static, Line: 2288
Angle type, Line: 2289
DA, Line: 2293
DB, Line: 2294
Wire Diameter, Line: 2295
Rename operation, Line: 2300
MS Shell Dlg, Line: 2301
OK, Line: 2303
Cancel, Line: 2304
Post Processor Settings Dialog, Line: 2310
MS Shell Dlg, Line: 2311
Save Setting, Line: 2314
Delete Setting, Line: 2315
Incremental U-V output in 4 axis cutting, Line: 2323
Button, Line: 2324
..., Line: 2326
..., Line: 2328
..., Line: 2330
OK, Line: 2331
Cancel, Line: 2332
Settings, Line: 2333
Setting Name, Line: 2334
Editor, Line: 2335
First position G code, Line: 2336
Taper angle options, Line: 2337
Coordinate numbers format, Line: 2338
Default post path:, Line: 2339
Operation last move, Line: 2340
Lua script to run for post processing, Line: 2341
Technological Parameters Dialog, Line: 2346
MS Shell Dlg, Line: 2347
Copy Process Texts And Close, Line: 2349
Cancel, Line: 2350
, Line: 2351
SysListView32, Line: 2351
Wire Diameter, Line: 2352
Workpiece, Line: 2353
MC Method, Line: 2354
Finish, Line: 2355
Thickness, Line: 2356
Model No, Line: 2357
Cut Number, Line: 2358
Var1, Line: 2359
Var2, Line: 2360
Process 1, Line: 2361
Process 2, Line: 2362
Process 3, Line: 2363
Process 4, Line: 2364
Process 5, Line: 2365
Insert, Line: 2381
Delete Selected, Line: 2382
Edit Selected, Line: 2391
Show All-No filter, Line: 2392
WireEDM Geometry Dialog, Line: 2397
MS Shell Dlg, Line: 2398
Reselect, Line: 2401
Add b, Line: 2405
, Line: 2406
SysListView32, Line: 2406
Close, Line: 2410
Next, Line: 2411
Contour Type, Line: 2412
Curve joining tolerance, Line: 2413
Coincident tolerance, Line: 2414
Z top, Line: 2415
Z base, Line: 2416
Operation Name, Line: 2417
Extra offset, Line: 2418
Time Estimation Dialog, Line: 2424
MS Shell Dlg, Line: 2425
OK, Line: 2427
Cancel, Line: 2428
Cutting Feedrate, Line: 2429
Rapid Feedrate, Line: 2430
Update, Line: 2433
Rotary Silhoutte Cutting Dialog, Line: 2439
MS Shell Dlg, Line: 2440
OK, Line: 2442
Cancel, Line: 2443
Start Angle, Line: 2444
End Angle, Line: 2445
Angle Step, Line: 2448
Filter Tol, Line: 2451
First Start Point, Line: 2452
First End Point, Line: 2456
X, Line: 2460
X, Line: 2461
Y, Line: 2462
Y, Line: 2463
Z, Line: 2464
Z, Line: 2465
Contour Point Matching Dialog, Line: 2470
MS Shell Dlg, Line: 2471
, Line: 2473
SysListView32, Line: 2473
Preview lines, Line: 2477
Insert new, Line: 2478
Reset selected, Line: 2479
Delete selected, Line: 2480
Preview all lines, Line: 2481
Delete lines, Line: 2485
Mindist, Line: 2486
Button, Line: 2486
Equal parameter, Line: 2487
Button, Line: 2487
Curve to curve, Line: 2488
Button, Line: 2488
OK, Line: 2489
Cancel, Line: 2490
Point pairs, Line: 2491
Number of lines, Line: 2492
t base, Line: 2493
t top, Line: 2494
Distance Step, Line: 2495
Z top, Line: 2496
Z base, Line: 2497
Matching, Line: 2498
SEMI VE FINISH ISLEME DIYALOGU, Line: 2503
MS Shell Dlg, Line: 2504
^, Line: 2510
, Line: 2512
SysTreeView32, Line: 2512
Calculate, Line: 2514
Add Collision Check, Line: 2515
Entry,Exit,Links..., Line: 2516
Close, Line: 2518
STRATEJI, Line: 2519
Takimyolu Ad:, Line: 2520
SAYISAL PARAMETRELER, Line: 2521
SECIMLER--Degistirmek icin cift tikla--, Line: 2522
Secili Parametre, Line: 2523
Machining direction, Line: 2524
Work piece, Line: 2529
MS Shell Dlg, Line: 2530
OK, Line: 2532
Cancel, Line: 2533
Name, Line: 2536
Tolerans, Line: 2537
Stock Definition, Line: 2538
Button, Line: 2538
POST SETTINGS, Line: 2543
MS Shell Dlg, Line: 2544
..., Line: 2549
, Line: 2554
Button, Line: 2554
Don't print G43H, Line: 2556
Button, Line: 2556
Post process options, Line: 2557
Print line numbers, Line: 2560
Button, Line: 2560
Print tool properties as command, Line: 2561
Button, Line: 2562
Print operation name as comment, Line: 2563
Button, Line: 2564
Use G1 instead of G0, Line: 2565
Button, Line: 2565
Print M6 first in tool change, Line: 2566
Button, Line: 2567
Don't print M6, Line: 2568
Button, Line: 2568
..., Line: 2571
..., Line: 2574
Save This Setting, Line: 2575
OK, Line: 2576
Close, Line: 2577
Comment end chars, Line: 2578
Machine Definition:, Line: 2579
Header, Line: 2580
Footer, Line: 2581
Current Setting, Line: 2582
Setting Name, Line: 2583
Comment begin chars, Line: 2584
Before tool change, Line: 2585
After tool change, Line: 2586
G0 Feedrate, Line: 2587
G code editor, Line: 2588
Setting properties, Line: 2589
Z   G43 , Line: 2590
Lua post script, Line: 2591
Split operations before angle limits, Line: 2592
Button, Line: 2593
G code extension, Line: 2594
Geometri Secme Diyalogu:, Line: 2599
MS Shell Dlg, Line: 2600
OK, Line: 2602
Cancel, Line: 2603
Insert, Line: 2605
Sil, Line: 2607
GEOMETRI, Line: 2608
SECIM , Line: 2609
Roughing time estimation dialog, Line: 2614
MS Shell Dlg, Line: 2615
Calculate, Line: 2617
Close, Line: 2618
Step down (mm), Line: 2620
Yatay adim (mm), Line: 2622
Volume to machine, Line: 2624
Feedrate  (units/min), Line: 2625
Sï¿½re Tahmini (dak), Line: 2628
Time Estimation and Edit Feed Rates Dialog, Line: 2633
MS Shell Dlg, Line: 2634
Close, Line: 2636
Actual Feed Rate, Line: 2649
Feed Rate to change to, Line: 2650
Actual time estimation, Line: 2653
Time estimation with new feeds, Line: 2654
Update Time Estimation, Line: 2655
Set new feedrates, Line: 2656
Rapid Feedrate, Line: 2657
Roughing parameters, Line: 2663
MS Shell Dlg, Line: 2664
Dusey Adim, Line: 2666
Rampa Tipi, Line: 2668
Automatic, Line: 2669
Button, Line: 2669
Helical, Line: 2670
Button, Line: 2670
Zigzag, Line: 2671
Button, Line: 2671
Linear, Line: 2672
Button, Line: 2672
Profil, Line: 2673
Button, Line: 2673
Rampa Acisi (Derece), Line: 2675
Helical diameter or length for zigzag, Line: 2677
Start z coordinate, Line: 2679
Final Z coordinate, Line: 2680
Z limits from model min max, Line: 2682
Button, Line: 2683
Smooth corners., Line: 2684
Button, Line: 2684
Smooth links., Line: 2685
Button, Line: 2685
Yukari Dogru Genisleme Acisi(derece), Line: 2687
Rest roughing, Line: 2688
Rest roughing, Line: 2689
Button, Line: 2689
Roughing tool radius, Line: 2691
Stock to leave, Line: 2693
Takimyolu Ad:, Line: 2695
Yatay Adim, Line: 2696
Roughing tools, Line: 2699
VVVVV, Line: 2700
            SELECTED TOOL:, Line: 2702
Tolerans, Line: 2704
Links,lead in outs, Line: 2705
Takimyolu hesaplaninca mw bin dosyasi olarak kayit et., Line: 2706
Button, Line: 2707
OK, Line: 2709
Cancel, Line: 2710
Remaining material dot count, Line: 2715
MS Shell Dlg, Line: 2716
OK, Line: 2718
Cancel, Line: 2719
X yonundeadim, Line: 2722
Y yonunde adim, Line: 2723
Mill Tools Dialog, Line: 2728
MS Shell Dlg, Line: 2729
OK, Line: 2731
iptal, Line: 2732
Mill Tools, Line: 2733
Insert..., Line: 2735
Edit..., Line: 2736
ï¿½ikar, Line: 2737
Takimlari kayit et..., Line: 2738
Tool Dialog, Line: 2743
MS Shell Dlg, Line: 2744
Insert, Line: 2756
Clear, Line: 2757
Tool wear, Line: 2761
Button, Line: 2761
Draw tool, Line: 2762
Button, Line: 2762
Add/Save, Line: 2763
Close, Line: 2764
Cutter geometry, Line: 2765
Name, Line: 2766
Diameter, Line: 2767
Tip radius, Line: 2768
Height, Line: 2769
Conic angle, Line: 2770
Extension, Line: 2771
Upper Diam., Line: 2772
Lower Diam., Line: 2773
Feedrate, Line: 2774
Spindle speed, Line: 2775
Tool No, Line: 2776
Type Text, Line: 2777
Select tool, Line: 2778
Record to program DB, Line: 2779
Button, Line: 2780
Extra parameters, Line: 2781
Height, Line: 2782
, Line: 2784
SysListView32, Line: 2784
Open set..., Line: 2785
Save set..., Line: 2786
Select shape 2D, Line: 2787
Is only tip radius cutting, Line: 2788
Button, Line: 2789
Entry feedrate, Line: 2791
Exit feedrate, Line: 2792
Link feedrate, Line: 2794
Default speeds, Line: 2796
Tool overall length, Line: 2797
Tool default operation length, Line: 2800
Priority, Line: 2801
Tool wear, Line: 2803
Select tool holder, Line: 2804
?, Line: 2806
Link moves:, Line: 2811
MS Shell Dlg, Line: 2812
OK, Line: 2814
Cancel, Line: 2815
Program Start:, Line: 2817
Program End:, Line: 2819
Short distance, Line: 2823
UZUN MESAFE, Line: 2824
Lead in, Line: 2830
Lead out, Line: 2831
Link moves in a section, Line: 2832
Link moves between sections, Line: 2834
Short distance, Line: 2840
UZUN MESAFE, Line: 2841
Lead in, Line: 2842
Lead out, Line: 2843
Short-long threshold, Line: 2845
Short-long threshold, Line: 2847
%TOOLDIAMETER, Line: 2848
Button, Line: 2848
%STEP, Line: 2849
Button, Line: 2849
To material, Line: 2850
Entry, Line: 2851
From material, Line: 2852
EXIT, Line: 2853
Safe z, Line: 2858
(relative to max z), Line: 2859
Collision , Line: 2860
yuksekligi, Line: 2861
Hizli hareket, Line: 2862
(G0) height, Line: 2863
Plunge Feedrate, Line: 2864
Roughing link moves, Line: 2869
MS Shell Dlg, Line: 2870
OK, Line: 2872
Cancel, Line: 2873
Safe z coordinate relative to model max.?, Line: 2874
Height where plunge feedrate is active, Line: 2878
Rapid (G0) height, Line: 2879
Rampa giris, Line: 2881
Button, Line: 2881
Program baslangici, Line: 2882
Program Sonu, Line: 2883
Z seviyelerinin baglantisi, Line: 2885
Rampa giris, Line: 2887
Button, Line: 2887
Link moves on same level(close), Line: 2888
Rampa giris, Line: 2890
Button, Line: 2890
Link moves on same level(far), Line: 2891
Rampa giris, Line: 2893
Button, Line: 2893
Passes links, Line: 2894
Rampa giris, Line: 2896
Button, Line: 2896
Plunge Feedrate, Line: 2897
TAKIM GIRIS-CIKIS , Line: 2903
MS Shell Dlg, Line: 2904
, Line: 2907
Radyus-Aci, Line: 2908
Button, Line: 2908
OK, Line: 2915
Cancel, Line: 2916
Tip:, Line: 2917
Uzunluk-Genislik, Line: 2918
Button, Line: 2918
Width, Line: 2919
Uzunluk, Line: 2920
Angle, Line: 2921
R/takimR%, Line: 2922
Yukseklik, Line: 2923
Name:, Line: 2924
General Settings, Line: 2929
MS Shell Dlg, Line: 2930
Metric, Line: 2932
Button, Line: 2932
Inch, Line: 2933
Button, Line: 2933
OK, Line: 2934
Cancel, Line: 2935
Units, Line: 2936
Active contour2d machining template, Line: 2938
Auto post after every calculation session, Line: 2939
Button, Line: 2940
Serialize manufacturing module, Line: 2941
Button, Line: 2942
Serialize wire module, Line: 2943
Button, Line: 2943
Serialize geo module, Line: 2944
Button, Line: 2944
Locale string, Line: 2946
Numbers locale string, Line: 2947
Ask for saving on exit, Line: 2949
Button, Line: 2949
Maximum item count for online drawing, Line: 2950
Enable bin pack improver, Line: 2952
Button, Line: 2953
Warn for small operations, Line: 2954
Button, Line: 2954
Small threshold, Line: 2956
3 axis form machining times, Line: 2961
MS Shell Dlg, Line: 2962
Calculate, Line: 2964
Close, Line: 2965
Takim, Line: 2971
Machining Area, Line: 2972
Avarage step, Line: 2973
Avarage feedrate, Line: 2974
Machining time, Line: 2975
(mm2), Line: 2976
(min), Line: 2977
VVVV, Line: 2979
^^^^, Line: 2980
2, Line: 2985
MS Shell Dlg, Line: 2986
Calculate, Line: 2988
Cancel, Line: 2989
YATAY ISLEME TAKIMLARI SEï¿½..., Line: 2990
Select Machining Surfaces..., Line: 2991
TEZGAG SEï¿½..., Line: 2992
DIK ISLEME TAKIMLARI SEï¿½..., Line: 2993
SELECT FACE MILLING TOOL, Line: 2994
, Line: 2995
Name, Line: 2996
Point step, Line: 2998
TAKIMLAR DIYALOGU, Line: 3004
MS Shell Dlg, Line: 3005
Tamam, Line: 3007
Cancel, Line: 3008
TAKIMLAR, Line: 3009
SEï¿½IM Kï¿½MESI, Line: 3010
Seï¿½ime Ekle      >>>>, Line: 3011
Sil, Line: 3014
Tï¿½mï¿½nï¿½ Sil, Line: 3015
Safe plane dialog, Line: 3020
MS Shell Dlg, Line: 3021
OK, Line: 3023
Cancel, Line: 3024
..., Line: 3028
Point on safe plane  X - Y - Z, Line: 3029
Safe plane normal I - J - K , Line: 3033
..., Line: 3034
Move to safe plane threshold, Line: 3036
Su Jeti Operasyon Sayfasï¿½, Line: 3041
MS Shell Dlg, Line: 3042
, Line: 3044
SysListView32, Line: 3044
Takï¿½m, Line: 3047
Feedrates, Line: 3049
Cutting, Line: 3050
Entry, Line: 3051
ï¿½ï¿½kï¿½ï¿½, Line: 3052
Link, Line: 3053
Tip, Line: 3057
Yeni Operasyon, Line: 3058
Start point, Line: 3059
Seï¿½ileni tekrar hesapla, Line: 3060
Safe plane, Line: 3061
Plunge Height, Line: 3065
Rapid H., Line: 3066
Edges, Line: 3067
Start, Line: 3072
Son, Line: 3073
Tanjant ile aï¿½ï¿½, Line: 3074
Angle on plane, Line: 3075
Tekrar Kaydet, Line: 3076
Normali ï¿½evir, Line: 3077
Paylar, Line: 3078
Axial, Line: 3079
Radyal, Line: 3082
Reverse motion, Line: 3083
Point step, Line: 3085
Area Cleaning Parameters, Line: 3090
MS Shell Dlg, Line: 3091
Rise up to safe z while linking ofsets, Line: 3095
Button, Line: 3096
OK, Line: 3097
Cancel, Line: 3098
Stepover, Line: 3099
Offset count, Line: 3100
Clean By Offset, Line: 3101
Button, Line: 3101
Clean By Raster, Line: 3102
Button, Line: 3102
Raster Angle, Line: 3104
Raster Type, Line: 3105
Line, Line: 3106
Button, Line: 3106
Arc (bulge), Line: 3107
Button, Line: 3107
Concentric arcs, Line: 3108
Button, Line: 3109
Arc bulge, Line: 3110
Concentric arc center, Line: 3113
..., Line: 3114
Tool Motion, Line: 3119
MS Shell Dlg, Line: 3120
Exit, Line: 3122
|>, Line: 3124
<|, Line: 3125
^, Line: 3126
V, Line: 3127
O >, Line: 3128
All toolpath, Line: 3129
Button, Line: 3129
Passes, Line: 3130
Button, Line: 3130
Slices, Line: 3131
Button, Line: 3131
Sections, Line: 3132
Button, Line: 3132
Prev., Line: 3134
Next, Line: 3135
, Line: 3136
msctls_trackbar32, Line: 3136
Tool Axis Control Dialog, Line: 3141
MS Shell Dlg, Line: 3142
OK, Line: 3144
Cancel, Line: 3145
Tool degree of freedom, Line: 3146
Axis control type, Line: 3148
4 Ax - Rotary Axis (i,j,k), Line: 3150
Project start dialog:, Line: 3158
MS Shell Dlg, Line: 3159
OK, Line: 3161
Cancel, Line: 3162
Project Name:, Line: 3164
Save directory:, Line: 3165
Dialog, Line: 3171
MS Shell Dlg, Line: 3172
OK, Line: 3174
Cancel, Line: 3175
..., Line: 3177
Post Process Options Dialog, Line: 3182
MS Shell Dlg, Line: 3183
Write arcs as line segments (No G02-G03 codes), Line: 3185
Button, Line: 3186
Decrease feedrate for arcs whose radius is small, Line: 3187
Button, Line: 3188
OK, Line: 3191
Cancel, Line: 3192
Small radius threshold, Line: 3193
Feedrate decrease percentage, Line: 3194
Max distance between positions, Line: 3195
Button, Line: 3196
Post 4Ax Head, Line: 3202
MS Shell Dlg, Line: 3203
OK, Line: 3205
Cancel, Line: 3206
Takï¿½m ucundan dï¿½nme merkezine mesafe, Line: 3208
Rotary axis name (A-B-C), Line: 3210
Machine origin relative to CAD origin, Line: 3211
X, Line: 3215
Y, Line: 3216
Z, Line: 3217
Safei Z, Line: 3219
Dialog, Line: 3224
MS Shell Dlg, Line: 3225
OK, Line: 3227
Cancel, Line: 3228
, Line: 3229
Static, Line: 3229
NC Toolpaths, Line: 3234
MS Shell Dlg, Line: 3235
Close, Line: 3237
Read NC File, Line: 3240
Reset Tool For Selected NC, Line: 3241
Simulate Selected NC, Line: 3242
Show Selected, Line: 3243
HideSelected, Line: 3244
Calculate Lift , Line: 3245
Draw Lift Lines, Line: 3246
Button, Line: 3246
Remake zmap with visible geo, Line: 3247
Sampling Length, Line: 3249
Nctoolpath  Info+ZMap info, Line: 3250
Export, Line: 3251
Lua path, Line: 3253
Key words for parsing (seperate by ;), Line: 3255
State value pairs (seperate by ; First value will be the default for the state), Line: 3256
Coordinates, Line: 3259
Multi Plates Post Process Dialog, Line: 3264
MS Shell Dlg, Line: 3265
Add selected, Line: 3269
Add all, Line: 3270
Delete selected, Line: 3271
Delete all, Line: 3272
..., Line: 3274
Prepare report, Line: 3275
Button, Line: 3275
Write, Line: 3276
All Plates, Line: 3277
Plates to post, Line: 3278
Report Attributes, Line: 3279
>, Line: 3282
Clear, Line: 3283
All types, Line: 3284
Types to write, Line: 3285
Add extra cuts, Line: 3288
Work piece selection, Line: 3293
MS Shell Dlg, Line: 3294
OK, Line: 3296
Cancel, Line: 3297
Select part to machine:, Line: 3299
Machine Simulation, Line: 3304
MS Shell Dlg, Line: 3305
Dialog, Line: 3311
MS Shell Dlg, Line: 3312
OK, Line: 3314
Cancel, Line: 3315
Machining curve, Line: 3320
MS Shell Dlg, Line: 3321
Containment Curve, Line: 3326
Button, Line: 3326
Drilling Line, Line: 3327
Button, Line: 3327
Projection Curve, Line: 3328
Button, Line: 3328
OK, Line: 3329
Cancel, Line: 3330
Name, Line: 3331
Tol, Line: 3332
Join tolerance, Line: 3333
Type, Line: 3334
Dialog, Line: 3339
MS Shell Dlg, Line: 3340
, Line: 3342
SysListView32, Line: 3342
ï¿½izgileri ekle, Line: 3343
Number of fine points, Line: 3345
Leads Dialog, Line: 3350
MS Shell Dlg, Line: 3351
OK, Line: 3353
Cancel, Line: 3354
Add..., Line: 3356
Delete, Line: 3357
Save..., Line: 3358
Make Drilling Lines Dialog, Line: 3363
MS Shell Dlg, Line: 3364
OK, Line: 3366
Cancel, Line: 3367
Hole Diameter, Line: 3368
Machining Direction, Line: 3370
i, Line: 3371
j, Line: 3372
k, Line: 3373
Hole Depth, Line: 3377
Drilling Dialog, Line: 3384
MS Shell Dlg, Line: 3385
, Line: 3387
SysListView32, Line: 3387
New Operation, Line: 3388
Recalculate Selected, Line: 3389
Reverse Axes, Line: 3390
Sorting start point, Line: 3396
Use circle's height, Line: 3397
Button, Line: 3397
Plunge, Line: 3401
Button, Line: 3401
Rapid, Line: 3402
Button, Line: 3402
Safe Z, Line: 3403
Button, Line: 3403
Close, Line: 3409
Tools, Line: 3410
Peck Depth, Line: 3411
Plunge H., Line: 3412
Rapid H., Line: 3413
Safe Z, Line: 3414
Pecking rise height, Line: 3415
Feedrates, Line: 3416
Cutting, Line: 3417
Plunge, Line: 3418
Riseup, Line: 3419
Link, Line: 3420
Spindle, Line: 3421
Type Str, Line: 3422
0 value is used for rapid moves.(G00), Line: 3423
Tool Height, Line: 3425
Template, Line: 3427
Delete Selected X, Line: 3428
Start H., Line: 3429
Depth, Line: 3430
Drill List Dialog, Line: 3435
MS Shell Dlg, Line: 3436
Calculate, Line: 3438
Close, Line: 3439
, Line: 3440
SysListView32, Line: 3440
Machining Direction, Line: 3441
I, Line: 3445
J, Line: 3446
K, Line: 3447
..., Line: 3448
Tools, Line: 3449
^, Line: 3451
Depth, Line: 3452
Button3, Line: 3453
Add Arcs, Line: 3454
Pecking, Line: 3456
Button, Line: 3456
Peck Depth, Line: 3458
..., Line: 3462
X, Line: 3463
Y, Line: 3464
Z, Line: 3465
Start Point, Line: 3466
Plunge H., Line: 3468
Rapid H., Line: 3469
Safe Z, Line: 3472
Plunge, Line: 3473
Button, Line: 3473
Rapid, Line: 3474
Button, Line: 3474
Safe Z, Line: 3475
Button, Line: 3475
Compact Cut Result Dialog, Line: 3480
MS Shell Dlg, Line: 3481
Next, Line: 3486
Post Process, Line: 3487
Post Process All, Line: 3488
Simulate Selected , Line: 3491
